NOTATION,INSP_AREA,STREET_NO,STREET_NAME,DATA_STATUS,COMP_TYPE,STREET_DIRECTION,ADDRESS,SUB_TYPE,APPROVED,X_COORD,Y_COORD,PARCEL,Neighborhood
CONDEMNATION,850,3577,ALASKA AV                       ,HAZARD  ,CBHCODE ,  ,3577 ALASKA AV,VACANT  ,N,1401518,424431,'011300020006      ,1
CONDEMNATION,820,588,BLAIR AV                        ,CIVIL1  ,CBHCODE ,  ,588 BLAIR AV,VACANT  ,N,1402834,421956,'010700080150      ,1
KEEP THE BUILDING VACANT,820,589,BLAIR AV                        ,CIVIL2  ,CBHCODE ,  ,589 BLAIR AV,VACANT  ,N,1403010,421775,'010600030118      ,1
KEEP THE BUILDING VACANT,820,591,BLAIR AV                        ,CIVIL1  ,CBHCODE ,  ,591 BLAIR AV,VACANT  ,N,1403056,421766,'010600030117      ,1
KEEP THE BUILDING VACANT,820,817,BLAIR AV                        ,ORDERS  ,CBHCODE ,  ,817 BLAIR AV,VACANT  ,N,1403517,421781,'010500030098      ,1
CONDEMNATION,820,826,BLAIR AV                        ,CIVIL1  ,CBHCODE ,  ,826 BLAIR AV,VACANT  ,N,1403667,421923,'010700100109      ,1
KEEP THE BUILDING VACANT,820,830,BLAIR AV                        ,CIVIL1  ,CBHCODE ,  ,830 BLAIR AV,VACANT  ,N,1403726,421915,'010700100089      ,1
CONDEMNATION,820,832,BLAIR AV                        ,CIVIL1  ,CBHCODE ,  ,832 BLAIR AV,VACANT  ,N,1403773,421938,'010700100096      ,1
KEEP THE BUILDING VACANT,820,836,BLAIR AV                        ,ORDERS  ,CBHCODE ,  ,836 BLAIR AV,VACANT  ,N,1403825,421913,'010700100099      ,1
CONDEMNATION,820,854,BLAIR AV                        ,FINLNOTC,CBHCODE ,  ,854 BLAIR AV,VACANT  ,N,1404035,421896,'010700100104      ,1
CONDEMNATION,820,883,BLAIR AV                        ,CIVIL2  ,CBHCODE ,  ,883 BLAIR AV,VACANT  ,N,1404397,421691,'006000030100      ,1
CONDEMNATION,820,889,BLAIR AV                        ,CRIMINAL,CBHCODE ,  ,889 BLAIR AV,VACANT  ,N,1404515,421681,'006000030003      ,1
CONDEMNATION,820,921,BLAIR CT                        ,ORDERS  ,CBHCODE ,  ,921 BLAIR CT,VACANT  ,N,1404953,421645,'006000030016      ,1
CONDEMNATION,830,3585,BOGART AV                       ,CIVIL2  ,CBHCODE ,  ,3585 BOGART AV,VACANT  ,N,1403527,424229,'011200060065      ,1
CONDEMNATION,830,3589,BOGART AV                       ,ORDERS  ,CBHCODE ,  ,3589 BOGART AV,VACANT  ,N,1403555,424270,'011200060096      ,1
KEEP THE BUILDING VACANT,830,3593,BOGART AV                       ,CIVIL1  ,CBHCODE ,  ,3593 BOGART AV,VACANT  ,N,1403555,424313,'011200060012      ,1
